team,country_code,group,training_site,training_address,hotel_name,hotel_address,confirmed,source_notes
Cape Verde,CV,H,Waters Sportsplex,"8108 Benjamin Rd, Tampa, FL 33634",Grand Hyatt Tampa Bay,"2900 Bayport Dr, Tampa, FL 33607",FALSE,To confirm
Saudi Arabia,SA,H,Q2 Stadium (Austin FC facilities),"10414 Mc Kalla Pl, Austin, TX 78758",Four Seasons Hotel Austin,"98 San Jacinto Blvd, Austin, TX 78701",TRUE,FOX 5 DC
Uruguay,UY,H,Mayakoba Training Centre Cancún,"Carretera Federal Cancún-Playa del Carmen KM 298, 77710 Playa del Carmen, Q.R., Mexico.",Fairmont Mayakoba,"Carretera Federal Cancún Km 298, 77710 Playa del Carmen, Q.R., Mexico",FALSE,To confirm
France,FR,I,Bentley University,"175 Forest St, Waltham, MA 02452",Four Seasons Hotel Boston,"200 Boylston St, Boston, MA 02116",TRUE,FOX 5 DC
Senegal,SN,I,Rutgers University,"57 US Highway 1, New Brunswick, NJ 08901",Delta Hotels Somerset,"110 Davidson Ave, Somerset, NJ 08873",FALSE,To confirm
Iraq,IQ,I,Greenbrier Sports Performance Center,"274 Greenbrier Medical Wy, White Sulphur Springs, WV 24986",The Greenbrier,"101 W Main St, White Sulphur Springs, WV 24986",,
Norway,NO,I,UNC Greensboro,"1400 Spring Garden St, Greensboro, NC 27412",Grandover Resort & Spa,"1000 Club Rd, Greensboro, NC 27407",TRUE,FOX 5 DC
Argentina,AR,J,National Performance Center (Sporting KC),"1913 Pinnacle WayKansas City, KS 66111",Hotel Savoy Kansas City,"219 W 9th St, Kansas City, MO 64105",TRUE,Kansas City FWC26 official
Algeria,DZ,J,Rock Chalk Park,"1450 Jayhawk Blvd, Lawrence, KS 66045",The Oread Lawrence,"1200 Oread Ave, Lawrence, KS 66044",TRUE,Kansas City FWC26 official
Austria,AT,J,UC Santa Barbara,"Santa Barbara, CA 93106",The Ritz-Carlton Bacara,"8301 Hollister Ave, Santa Barbara, CA 93117",,
Jordan,JO,J,University of Portland,"5000 N Willamette Blvd, Portland, OR 97203","The Nines, a Luxury Collection Hotel","525 SW Morrison St, Portland, OR 97204",PARTIAL,World Cup Guide - reported but unofficial
